tweet
"“If you don't have problems, you're pretending or you don't run your own business.” –Donald J. Trump http://tinyurl.com/pqpfvm"
"Last week to enter the ""Think Like A Champion"" signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest/"
Today is Donald Trump's Birthday! Send him your B'day wishes here: http://www.facebook.com/DonaldTrump
Thanks to all for your thoughtful birthday wishes – Donald Trump
"RE: FB Vanity URLs: SF Chronicle - ""David Beckham was one of the first, along with Britney Spears & Donald Trump."" http://tinyurl.com/ln4lol"
- Wishing a Happy Father's Day to all the Dad's out there - YOU are a champion today and everyday! http://tinyurl.com/kn95ju
“Expand your life every day.” –Donald J. Trump http://tinyurl.com/pqpfvm
Donald Trump’s commercial-free WWE Raw does big rating: http://tinyurl.com/nxvquo
"RE: Michael Jackson: ""He was a great friend and a spectacular entertainer. It’s a devastating loss!"" -Donald J. Trump"
Watch a powerful and frank interview with Donald Trump about the economy on Greta Van Susteren's On The Record: http://tinyurl.com/mmjked
